seccion,producto,cantidad,n_transacciones,total,precio_promedio,menu_mix_pct,margen_contrib,clasificacion
Café,Espresso,60.0,57,120000,2000.0,0.236,2000.0,Perro
Ofertas,Oferta menú del día + bebestible,17.0,13,102000,6000.0,0.067,6000.0,Interrogante
Panadería Japonesa,Brioche pan,36.0,31,100800,2800.0,0.142,2800.0,Perro
Ofertas,Oferta pan viennoise,36.0,35,97200,2700.0,0.142,2700.0,Perro
Sandwich,En pan baguette,22.0,21,92400,4200.0,0.087,4200.0,Interrogante
Panadería x mayor,Pan molde linaza x mayor,38.0,14,87400,2300.0,0.149,2300.0,Perro
Panadería artesanal,Batard,84.0,59,84000,1000.0,0.33,1000.0,Perro
Panadería Japonesa,Yakisoba pan,24.0,22,84000,3500.0,0.094,3500.0,Perro
Ofertas,SANDWICH DEL DÍA,18.0,10,82500,4583.333333333333,0.071,4583.333333333333,Interrogante
PROMOCIÓN EVENTO,PROMO EVENTOS,16.0,1,80000,5000.0,0.063,5000.0,Interrogante
Pastelería japonesa,Castella,53.0,45,79500,1500.0,0.208,1500.0,Perro
Ofertas,Tokyo box 3,7.0,7,77000,11000.0,0.028,11000.0,Interrogante
Pastelería tradicional,Carrot Cake Stevia,3.0,3,76800,25600.0,0.012,25600.0,Interrogante
Pastelería x mayor,Galleton relleno (Sabores) libre de azucar,50.0,2,75000,1500.0,0.197,1500.0,Perro
Pastelería de autor,Matcha tiramisú,26.0,22,72800,2800.0,0.102,2800.0,Perro
Pastelería tradicional,Torta de manjar y nueces,24.0,20,67600,2816.6666666666665,0.094,2816.6666666666665,Perro
Ofertas,Oferta Melonpan x 4 und,15.0,15,64500,4300.0,0.059,4300.0,Interrogante
Ofertas,Oferta Cinnamon roll,16.0,15,64000,4000.0,0.063,4000.0,Perro
Sandwich,En pan brioche,14.0,14,58500,4178.571428571428,0.055,4178.571428571428,Interrogante
Otros bebestibles,Aguas saborizadas,37.0,36,56700,1532.4324324324325,0.146,1532.4324324324325,Perro
Panadería de autor,OFERTA Pajaritos,14.0,13,56000,4000.0,0.055,4000.0,Perro
Preparaciones frías con café,Espresso ginger,14.0,13,53200,3800.0,0.055,3800.0,Perro
Panadería artesanal,Brioche,103.0,29,51500,500.0,0.405,500.0,Perro
Panadería x mayor,Baguette x mayor,60.0,11,51000,850.0,0.236,850.0,Perro
Pastelería tradicional,Carrot cake sin azúcar,15.0,13,48000,3200.0,0.059,3200.0,Perro
Pastelería japonesa,Cotton Cheesecake xl,8.0,8,47200,5900.0,0.031,5900.0,Interrogante
Panadería x mayor,Pan molde blanco grande x mayor,18.0,14,42840,2380.0,0.071,2380.0,Perro
Panadería artesanal,Pan artesanal,35.0,28,42500,1214.2857142857142,0.138,1214.2857142857142,Perro
Pastelería de autor,Neko red velvet,14.0,11,42000,3000.0,0.055,3000.0,Perro
Pastelería x mayor,Carrot Cake x 20,1.0,1,42000,42000.0,0.004,42000.0,Interrogante
Pastelería japonesa,Mochis,20.0,20,41800,2090.0,0.079,2090.0,Perro
Ofertas,Croquembouche,4.0,3,40000,10000.0,0.016,10000.0,Interrogante
Pastelería x mayor,Galleton relleno ( sabores) 170 gr.,25.0,2,37500,1500.0,0.098,1500.0,Perro
Pastelería x mayor,Galleton Mantequilla de mani,25.0,2,37500,1500.0,0.098,1500.0,Perro
,Reparto PedidosYa,11.0,11,36725,3338.6363636363635,0.043,3338.6363636363635,Perro
Otros bebestibles,Café OKF,16.0,16,36100,2256.25,0.063,2256.25,Perro
Ofertas,Oferta frappuccino,11.0,5,35200,3200.0,0.043,3200.0,Perro
Ofertas,Oferta Latte,13.0,9,33280,2560.0,0.051,2560.0,Perro
Frappé,STRAWBERRRY spice Frappuccino,8.0,8,32000,4000.0,0.031,4000.0,Perro
Panadería de autor,Pan de osito,9.0,6,31500,3500.0,0.035,3500.0,Perro
Panadería artesanal,Marraqueta (envasada),21.0,13,30450,1450.0,0.083,1450.0,Perro
Ofertas,Oferta baguette,19.0,16,30400,1600.0,0.075,1600.0,Perro
Pastelería de autor,Melonpan helado,11.0,11,28500,2590.909090909091,0.043,2590.909090909091,Perro
Ofertas,Oferta berlin,10.0,7,28000,2800.0,0.039,2800.0,Perro
Pastelería tradicional,Torta de chocolate naranja,10.0,10,28000,2800.0,0.039,2800.0,Perro
Panadería Japonesa,Sausage pan XL,6.0,6,25000,4166.666666666667,0.024,4166.666666666667,Interrogante
Pastelería tradicional,Torta Chocolate blanco frambuesa,1.0,1,22400,22400.0,0.004,22400.0,Interrogante
Otros bebestibles,Jugos,16.0,15,22300,1393.75,0.063,1393.75,Perro
Pastelería tradicional,3 leches,7.0,7,21000,3000.0,0.028,3000.0,Perro
Panadería artesanal,Batard multigranos,13.0,10,20800,1600.0,0.051,1600.0,Perro
Ofertas,Oferta cappuccino + melonpan,5.0,5,20000,4000.0,0.02,4000.0,Perro
Ofertas,Oferta donas de osito,6.0,6,18000,3000.0,0.024,3000.0,Perro
Otros métodos de preparación,V60,6.0,6,18000,3000.0,0.024,3000.0,Perro
Pastelería tradicional,Roll cake,4.0,4,17500,4375.0,0.016,4375.0,Interrogante
Ofertas,Oferta Pan molde frio,9.0,9,17200,1911.111111111111,0.035,1911.111111111111,Perro
Pastelería tradicional,Chocolate manjar,6.0,4,16800,2800.0,0.024,2800.0,Perro
Sandwich,TOKYO BOX (Con descuento),1.0,1,16200,16200.0,0.004,16200.0,Interrogante
Ofertas,Oferta Sausage pan,4.0,3,16000,4000.0,0.016,4000.0,Perro
Pastelería tradicional,Bruselina de canela y chocolate stevia,5.0,5,16000,3200.0,0.02,3200.0,Perro
Pastelería x mayor,Panqueque naranja chocolate x8,1.0,1,15790,15790.0,0.004,15790.0,Interrogante
Preparaciones frías con café,Espresso tonic,4.0,4,15200,3800.0,0.016,3800.0,Perro
Pastelería x mayor,Streusel de frambuesa individual,6.0,2,15000,2500.0,0.024,2500.0,Perro
Panadería de autor,Berlínes de osito,8.0,8,14400,1800.0,0.031,1800.0,Perro
Pastelería tradicional,Selva negra,5.0,5,14000,2800.0,0.02,2800.0,Perro
Panadería x mayor,Pan molde blanco x mayor,8.0,5,12800,1600.0,0.031,1600.0,Perro
Ofertas,Oferta ensalada del día,3.0,2,12000,4000.0,0.012,4000.0,Perro
Ofertas,Oferta ensalada del día + bebida o agua mineral,2.0,1,10000,5000.0,0.008,5000.0,Interrogante
Sandwich,TOKYO BOX (Con descuento) waku waku set,1.0,1,9000,9000.0,0.004,9000.0,Interrogante
Pastelería tradicional,Torta naranja chocolate,3.0,3,8600,2866.6666666666665,0.012,2866.6666666666665,Perro
Panadería de autor,Pan navideño (oferta),1.0,1,8000,8000.0,0.004,8000.0,Interrogante
Ofertas,Oferta curry de pollo,1.0,1,8000,8000.0,0.004,8000.0,Interrogante
Ofertas,Oferta marraquetas,5.0,5,7500,1500.0,0.02,1500.0,Perro
Galletas,Galletas de mantequilla,4.0,4,6000,1500.0,0.016,1500.0,Perro
Preparaciones frías con café,Cold brew,2.0,2,6000,3000.0,0.008,3000.0,Perro
Ofertas,Oferta Chocolate caliente,2.0,2,5800,2900.0,0.008,2900.0,Perro
Ofertas,Oferta bolsita de dulces,1.0,1,5000,5000.0,0.004,5000.0,Interrogante
Panadería Japonesa,Yakisoba pan + bebida  oferta,1.0,1,4500,4500.0,0.004,4500.0,Interrogante
,Reparto,2.0,2,4000,2000.0,0.008,2000.0,Perro
Ofertas,Oferta cappuccino + pan dulce relleno,1.0,1,4000,4000.0,0.004,4000.0,Perro
Pastelería de autor,Tartaletas,1.0,1,3500,3500.0,0.004,3500.0,Perro
Ofertas,Oferta Cappuccino,1.0,1,3000,3000.0,0.004,3000.0,Perro
OTROS,Leche sola,6.0,6,3000,500.0,0.024,500.0,Perro
Ofertas,Oferta Mocaccino,1.0,1,2900,2900.0,0.004,2900.0,Perro
Café,LATTE ART 3D,3.0,3,2100,700.0,0.012,700.0,Perro
OTROS,Set Stickers,2.0,2,2000,1000.0,0.008,1000.0,Perro
Pastelería japonesa,Castella DESCUENTO,2.0,2,2000,1000.0,0.008,1000.0,Perro
Panadería de autor,Pan dulce del día (diseño varía),1.0,1,1200,1200.0,0.004,1200.0,Perro
Arcade,Monedas arcade,7.0,2,700,100.0,0.028,100.0,Perro
